NAME                            VERSION                            TYPE                     
POSIX Threads for Windows LPGL  2, 9, 1, 0                         dotnet  (+3 duplicates)   
Simple Launcher                 1.1.0.14                           dotnet  (+15 duplicates)  
adduser                         3.137ubuntu1                       deb                       
aiohttp                         3.8.6                              python                    
aiohttp-retry                   2.8.3                              python                    
aiosignal                       1.3.1                              python                    
amqp                            5.1.1                              python                    
annotated-types                 0.6.0                              python                    
apt                             2.7.14build2                       deb                       
apt-utils                       2.7.14build2                       deb                       
asgiref                         3.7.2                              python                    
asttokens                       2.4.1                              python                    
async-timeout                   4.0.3                              python                    
attrs                           23.1.0                             python                    
authy                           2.2.6                              python                    
autobahn                        23.6.2                             python                    
automat                         22.10.0                            python                    
backcall                        0.2.0                              python                    
backoff                         2.2.1                              python                    
base-files                      13ubuntu10.1                       deb                       
base-passwd                     3.6.3build1                        deb                       
bash                            5.2.21-2ubuntu4                    deb                       
billiard                        4.1.0                              python                    
blinker                         1.6.3                              python                    
brotli                          1.1.0                              python                    
bsdutils                        1:2.39.3-9ubuntu6.1                deb                       
bson                            0.5.10                             python                    
ca-certificates                 20240203                           deb                       
cachecontrol                    0.13.1                             python                    
cachetools                      5.3.2                              python                    
catatonit                       0.1.7-1                            deb                       
celery                          5.3.4                              python                    
certifi                         2023.7.22                          python                    
cffi                            1.16.0                             python                    
channels                        4.0.0                              python                    
channels-redis                  4.1.0                              python                    
charset-normalizer              3.3.1                              python                    
click                           8.1.7                              python                    
click-didyoumean                0.3.0                              python                    
click-plugins                   1.1.1                              python                    
click-repl                      0.3.0                              python                    
coloredlogs                     15.0.1                             python                    
colorlog                        6.7.0                              python                    
constantly                      23.10.4                            python                    
coreutils                       9.4-3ubuntu6                       deb                       
cron                            3.0pl1-184ubuntu2                  deb                       
cron-daemon-common              3.0pl1-184ubuntu2                  deb                       
cryptography                    41.0.5                             python                    
daphne                          4.0.0                              python                    
dash                            0.5.12-6ubuntu5                    deb                       
debconf                         1.5.86ubuntu1                      deb                       
debianutils                     5.17build1                         deb                       
decorator                       5.1.1                              python                    
defusedxml                      0.7.1                              python                    
deprecated                      1.2.14                             python                    
diffutils                       1:3.10-1build1                     deb                       
dirmngr                         2.4.4-2ubuntu17                    deb                       
discord-webhook                 1.3.0                              python                    
distlib                         0.3.9                              python                    
dj-database-url                 2.1.0                              python                    
django                          4.0.10                             python                    
django-allauth                  0.62.1                             python                    
django-channels-presence        1.0.0                              python                    
django-cors-headers             4.3.0                              python                    
django-debug-toolbar            4.2.0                              python                    
django-extensions               3.2.3                              python                    
django-hijack                   3.4.2                              python                    
django-ipware                   5.0.2                              python                    
django-jstemplate               2.0.1                              python                    
django-oauth-toolkit            2.3.0                              python                    
django-qr-code                  3.1.1                              python                    
django-redis                    5.4.0                              python                    
django-safedelete               1.3.2                              python                    
django-settings-export          1.2.1                              python                    
django-simple-history           3.4.0                              python                    
django-webpack-loader           2.0.1                              python                    
django-widget-tweaks            1.5.0                              python                    
djangorestframework             3.14.0                             python                    
dpkg                            1.22.6ubuntu6.1                    deb                       
